id,genre
103640,Romance
103648,Drama
10366,Action
10366,Science Fiction
103663,Drama
103667,Documentary
103668,Drama
103668,History
103675,TV Movie
103675,Action
103675,Adventure
103678,Adventure
103678,Comedy
10368,Comedy
10368,Drama
10368,War
103686,Drama
103688,Drama
103688,Music
103688,Documentary
103689,Drama
10370,Horror
103701,Drama
103707,Drama
10371,Comedy
103711,Family
103711,Fantasy
103711,Comedy
103713,Documentary
103717,Drama
10372,Adventure
10373,Drama
10373,Music
103731,Drama
103732,Documentary
103734,Documentary
103740,Drama
103740,Romance
103742,Drama
103742,War
103742,History
103745,Documentary
103747,Drama
103747,Comedy
10375,Action
10375,Thriller
103750,Drama
103753,Drama
103758,Drama
103758,Comedy
10376,Fantasy
10377,Comedy
10377,Drama
10378,Animation
10378,Comedy
103785,Drama
10379,Comedy
10379,Fantasy
10379,Family
10380,Adventure
10380,Animation
10380,Family
10381,Drama
10381,Action
10381,Comedy
10383,Horror
10383,Thriller
10384,Horror
10384,Science Fiction
10384,Thriller
10385,Comedy
10385,Drama
103850,Drama
103851,Comedy
103851,Documentary
10386,Adventure
10386,Animation
10386,Family
10386,Fantasy
10386,Science Fiction
10387,Drama
10387,History
103875,Thriller
10388,Action
10388,Crime
10388,Drama
10388,Mystery
10388,Thriller
10389,Horror
103894,Foreign
1039,Drama
1039,Foreign
10390,Drama
10390,Romance
103902,Romance
103902,Drama
10391,Drama
10391,Horror
10391,Thriller
10391,Crime
10393,Comedy
103934,Comedy
103934,Romance
103938,Romance
103938,Drama
103938,Action
103938,War
10394,Action
10394,Drama
10394,Thriller
103941,Drama
103941,History
103941,War
103947,Comedy
10395,Fantasy
103953,Science Fiction
103953,Drama
103953,Romance
10396,Action
10396,Adventure
10396,Crime
10396,Romance
10396,Thriller
103960,Drama
103960,Action
10397,Drama
103970,Comedy
103970,Horror
103972,Drama
103972,Foreign
10398,Crime
10398,Drama
10398,Mystery
10398,Thriller
10399,Drama
10399,Romance
104,Action
104,Drama
104,Thriller
1040,Drama
10400,Drama
10401,Drama
10401,Comedy
10401,Romance
10402,Comedy
10403,Comedy
10403,Drama
10404,Drama
104041,TV Movie
104041,Action
104041,Drama
104043,Drama
104044,Fantasy
104044,Science Fiction
10406,Comedy
10406,Family
104062,Drama
104067,Drama
10407,Comedy
10407,Romance
10408,Comedy
104081,Drama
104081,Foreign
104083,Drama
104086,Drama
10409,Comedy
10409,Drama
10409,Romance
10410,Crime
10410,History
104103,Drama
104103,Comedy
104108,Horror
10411,Comedy
10412,Action
10412,Drama
10412,Thriller
10413,Action
10413,Adventure
10413,Drama
10413,Thriller
10414,Comedy
10414,Family
104146,Comedy
104150,TV Movie
104150,Drama
104155,Documentary
10416,Comedy
10416,Drama
10416,Romance
10416,Science Fiction
104171,Comedy
104171,Drama
104171,Family
104176,Thriller
104176,Drama
104185,Science Fiction
104185,Action
104185,Thriller
10419,Music
10419,Drama
104193,Crime
104193,Drama
10420,Drama
104211,Romance
104211,Fantasy
104214,Drama
104214,History
104214,Romance
104214,War
104221,Drama
104221,Comedy
104221,Romance
10423,Drama
104232,Horror
104232,Comedy
104232,Romance
104237,Action
104237,Adventure
104239,Mystery
104239,Drama
10424,Crime
10424,Drama
10424,Mystery
104241,Drama
104241,Foreign
104242,Drama
104244,Mystery
104244,Crime
104244,Drama
10425,Drama
10425,Action
10425,Thriller
10425,Crime
104250,Documentary
104250,Drama
104250,History
104251,Fantasy
104251,Drama
104259,Action
104259,Thriller
104259,Crime
10426,Comedy
10427,Crime
10427,Drama
10427,Thriller
104274,Action
104274,Drama
104274,Crime
104275,Animation
104275,Horror
104275,Mystery
104277,Comedy
104277,Drama
10428,Action
10428,Crime
10428,Thriller
10428,Drama
104285,Drama
104285,Fantasy
10429,Action
10429,Thriller
104297,Western
104297,Comedy
104297,Drama
104297,Family
104301,Drama
104301,Romance
104306,Drama
104308,Horror
104308,Thriller
10431,Action
10431,Thriller
10431,Crime
104310,Mystery
104317,Fantasy
104317,Horror
10432,Comedy
10432,Horror
104320,Drama
104320,Foreign
104329,Action
104329,Thriller
104329,Mystery
10433,Comedy
10433,Crime
10433,Romance
10433,Drama
104334,Action
104338,Drama
104338,Fantasy
104338,Horror
104338,Mystery
10434,Drama
10434,Fantasy
10434,Science Fiction
104343,Drama
10435,Drama
104354,Drama
10436,Drama
10436,Romance
104360,Thriller
104360,Horror
104364,Comedy
10437,Comedy
10437,Family
10437,Fantasy
10437,Drama
104374,Drama
104376,Drama
10438,Family
10438,Comedy
10439,Comedy
10439,Family
10439,Fantasy
104391,Drama
104394,Drama
104398,Animation
10440,Comedy
10440,Mystery
104413,Comedy
10442,Comedy
10442,Crime
